fishery.index,gear,fishery.type,fishery.country,fishery.name,fishery.region,fishery.psc
1,T,P,US,AK W/S T,AK,AABM
2,T,P,US,AK JNO T,AK,AABM
3,T,P,US,AK JNI T,AK,AABM
4,T,P,US,AK JLO T,AK,AABM
5,T,P,US,AK JLI T,AK,AABM
6,T,P,US,AK FALL T,AK,AABM
7,T,T,US,TAK TERM T,AK,AABM
8,T,P,CA,NORTH T,NBC,AABM
9,T,P,CA,CENTRL T,NBC,ISBM
10,T,P,CA,WCVI F/W T,SBC,AABM
11,T,P,CA,WCVI SPR T,SBC,AABM
12,T,P,CA,WCVI SUM T,SBC,AABM
13,T,P,US,N FALCON T,SUS,ISBM
14,T,P,US,S FALCON T,SUS,ISBM
15,T,T,US,TOR TERM T,SUS,ISBM
16,T,P,CA,GEO ST T,SBC,ISBM
17,N,P,US,ALASKA N,AK,AABM
18,N,P,CA,NORTH N,NBC,ISBM
19,N,T,CA,TNBC TERM N,NBC,ISBM
20,N,P,CA,CENTRL N,NBC,ISBM
21,N,T,CA,TCBC TERM N,NBC,ISBM
22,N,T,CA,TWCVI TERM N,SBC,ISBM
23,N,P,CA,WCVI N,SBC,ISBM
24,N,P,CA,GEO ST N,SBC,ISBM
25,N,P,US,PGSDN N,SUS,ISBM
26,N,T,US,TPGSDN TERM N,SUS,ISBM
27,N,P,US,US JF N,SUS,ISBM
28,N,P,US,PGSDO N,SUS,ISBM
29,N,T,US,TPGSDO TERM N,SUS,ISBM
30,N,P,US,WA CST N,SUS,ISBM
31,N,T,US,TCOL R N,SUS,ISBM
32,N,T,US,TAK TERM N,AK,AABM
33,N,T,US,TBR TERM N,AK,AABM
34,N,T,CA,TNORTH FN,FW-CA,ISBM
35,N,T,CA,TCENTRAL FN,FW-CA,ISBM
36,N,T,CA,TGEO ST FN,FW-CA,ISBM
37,N,T,CA,TFRAS FN,FW-CA,ISBM
38,N,T,US,TPS FN,FW-US,ISBM
39,N,T,US,TWAC FN,FW-US,ISBM
40,N,P,CA,JNST N,SBC,ISBM
41,N,P,CA,BC JF N,SBC,ISBM
42,N,P,CA,FRASER N,SBC,ISBM
43,N,T,CA,TFRASER TERM N,FW-CA,ISBM
44,S,P,US,ALASKA S,AK,AABM
45,S,P,CA,CBC S,NBC,ISBM
46,S,T,CA,TCBC TERM S,NBC,ISBM
47,S,P,CA,NBC AABM S,NBC,AABM
48,S,P,CA,NBC ISBM S,NBC,ISBM
49,S,T,CA,TNBC TERM S,NBC,ISBM
50,S,P,CA,WCVI AABM S,SBC,AABM
51,S,P,CA,WCVI ISBM S,SBC,ISBM
52,S,T,CA,TWCVI TERM S,SBC,ISBM
53,S,P,US,N FALCON S,SUS,ISBM
54,S,T,US,TNF TERM S,SUS,ISBM
55,S,P,US,S FALCON S,SUS,ISBM
56,S,T,US,TSF TERM S,SUS,ISBM
57,S,P,US,PGSDN S,SUS,ISBM
58,S,T,US,TPGSDN TERM S,SUS,ISBM
59,S,P,US,PGSDO S,SUS,ISBM
60,S,T,US,TPGSDO TERM S,SUS,ISBM
61,S,P,CA,JNST S,SBC,ISBM
62,S,T,CA,TJNST TERM S,SBC,ISBM
63,S,P,CA,GEO ST S,SBC,ISBM
64,S,T,CA,TGEO ST TERM S,SBC,ISBM
65,S,P,CA,BC JF S,SBC,ISBM
66,S,T,CA,TBC JF TERM S,SBC,ISBM
67,S,T,US,TCOL R S,SUS,ISBM
68,S,T,US,TAK TERM S,AK,AABM
69,S,T,US,TBR TERM S,AK,AABM
70,S,T,CA,TNORTH FS,FW-CA,ISBM
71,S,T,CA,TCENTRAL FS,FW-CA,ISBM
72,S,T,CA,TWCVI FS,FW-CA,ISBM
73,S,T,CA,TFRASER FS,FW-CA,ISBM
74,S,T,CA,TGS FS,FW-CA,ISBM
75,S,T,US,TPS FS,FW-US,ISBM
76,S,T,US,TSF TERM FS,FW-US,ISBM
77,X,X,CA,XCA TERM STRAY N,FW-CA,ISBM
78,X,X,US,XUS TERM STRAY N,FW-US,ISBM